,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NIH (USA),710,883,1059,1514,1712,1883,2091,2411,2670,2759,3604,4232,4299,4620,4695
NSFC (China),135,226,374,724,895,1254,1639,1963,2245,2708,3685,5023,6644,4872,4966
NSF (USA),294,411,523,722,868,1014,1205,1293,1514,1652,1940,2043,2102,1987,2170
EC (Europe),250,294,374,552,640,811,953,1123,1276,1338,1770,1974,2003,2038,2108
DFG (Germany),141,188,235,293,414,447,573,664,767,853,1216,1360,1330,1265,1136
Wellcome (UK),195,216,246,370,438,505,576,768,886,933,1032,1200,1052,877,839
ERC (Europe),17,42,82,178,279,373,497,693,863,797,962,1074,946,961,906
ANR (France),54,89,110,184,236,272,316,415,489,455,548,590,625,556,500
BBSRC (UK),89,116,130,230,265,339,345,450,554,514,551,542,447,414,394
HHMI (USA),55,74,90,140,147,127,153,175,188,203,223,218,236,261,283
