,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018
HHMI (USA),0.0,50.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0
BMGF (USA),0.0,33.33333333333333,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
DFG (Germany),0.0,31.70731707317073,0.0,0.0,24.46043165467626,0.0,0.0,0.0,0.0,0.0
MRC (UK),0.0,23.809523809523807,0.0,40.0,22.04724409448819,0.0,0.0,0.0,0.0,0.0
Wellcome Trust (UK),0.0,23.076923076923077,0.0,28.57142857142857,17.02127659574468,0.0,0.0,0.0,0.0,0.0
NIH (USA),50.0,21.59090909090909,50.0,8.47457627118644,26.0,0.0,0.0,0.0,0.0,0.0
CIHR (Canada),0.0,21.428571428571427,33.33333333333333,14.285714285714285,27.941176470588236,0.0,0.0,0.0,0.0,0.0
EC (Europe),0.0,20.0,100.0,16.666666666666664,14.919354838709678,0.0,0.0,0.0,0.0,0.0
AMED (Japan),0.0,20.0,0.0,0.0,22.857142857142858,0.0,0.0,0.0,0.0,0.0
NSFC (China),100.0,17.913385826771652,0.0,0.0,14.717906786590351,0.0,0.0,0.0,0.0,0.0
