,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018,2000,2014,2007,2015,2016,2010,2009,2003,2004,2005,2008,2006,2011,2012,1998,2001,2002,1999,1988,1987,1960,1959,1961,1976,1977,1962,1963,1964,1994,1956
HHMI (USA),744,518,646,416,581,212,375,293,142,265,0,181,36,190,187,63,54,1,18,20,41,27,85,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellcome Trust (UK),2522,1448,2390,2099,2227,1104,1652,1490,412,1250,0,575,55,760,894,221,156,1,9,14,89,41,241,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFG (Germany),2835,1978,2562,2271,2454,826,1842,1387,237,1075,0,430,33,562,690,90,59,1,0,3,37,11,130,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGF (USA),510,262,391,407,434,128,330,231,19,213,0,38,0,65,88,9,3,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIH (USA),14492,10014,12797,9269,10382,4023,7325,5675,1744,4749,0,2158,302,2918,3417,850,609,2,41,85,443,187,1073,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMED (Japan),747,520,681,603,680,213,480,367,0,263,0,0,0,34,124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC (Europe),4420,2965,3754,3304,3736,1550,2672,2366,504,1870,0,649,53,990,1248,167,116,0,2,9,82,33,242,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRC (UK),2776,1789,2721,2519,2682,1226,1946,1654,441,1410,0,535,53,760,979,193,123,1,5,15,67,33,234,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIHR (Canada),1014,771,939,710,863,354,572,474,165,367,0,190,25,269,307,82,57,0,4,13,33,15,86,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSFC (China),13112,10368,10732,8009,11177,3071,5797,4748,797,3635,0,1130,12,1850,2462,128,61,0,0,2,34,5,239,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
